PLANT_NAME	LATIN_NAME	HEIGHT	WIDTH	PLANTING_DEPTH	SEED_SIZE	SEED_NEED_LIGHT	SEED_SCARIFICATION	PH	EC	DAY_LIGHT_INTERVAL	PHOTOPERIOD_HOURS	LIGHT_LOWER	LIGHT_OPTIMAL	LIGHT_UPPER	NITROGEN_LOWER	NITROGEN_OPTIMAL	NITROGEN_UPPER	PHOSPHORUS_LOWER	PHOSPHORUS_OPTIMAL	PHOSPHORUS_UPPER	POTASSIUM_LOWER	POTASSIUM_OPTIMAL	POTASSIUM_UPPER	GERMINATION_LOWER	GERMINATION_NORMAL	GERMINATION_UPPER	TRANSPLANTING_LOWER	TRANSPLANTING_OPTIMAL	TRANSPLANTING_UPPER	MATURITY_LOWER	MATURITY_OPTIMAL	MATURITY_UPPER	FROST_TOLERANCE	FLOWERING	POLLINATION_PRIMARY	POLLINATION_SECONDARY
Apple		360	240																																	
Orange		360	240																																	
